text,value,selected,description,imageSrc
Blueberry Headband,221,,,"""https://assets.wikileaf.com/assets/strains/strain/Blueberry_Headband.jpg"""
Zombie OG,222,,,"""https://assets.wikileaf.com/assets/strains/strain/Zombie-OG-icon.jpg"""
Headbanger,223,,,"""https://assets.wikileaf.com/assets/strains/strain/Headbanger.jpg"""
Blue Diesel,224,,,"""https://assets.wikileaf.com/assets/strains/strain/Blue_Diesel.png"""
Chocolate Thai,225,,,"""https://assets.wikileaf.com/assets/strains/strain/Chocolate_Thai.jpg"""
Ogre Kush,226,,,"""https://assets.wikileaf.com/assets/strains/strain/Ogre_Kush.png"""
Tangerine Dream,227,,,"""https://assets.wikileaf.com/assets/strains/strain/Tangerine-Dream-Icon.jpg"""
Triangle Kush,228,,,"""https://assets.wikileaf.com/assets/strains/strain/Triangle-Kush-icon.jpg"""
Afghani,229,,,"""https://assets.wikileaf.com/assets/strains/strain/Afghani.png"""
Cereal Milk,230,,,"""../../../assets/img/strain-types/Hybrid_500.png"""
Cold Creek Kush,231,,,"""../../../assets/img/strain-types/Indica_500.png"""
XJ-13,232,,,"""https://assets.wikileaf.com/assets/strains/strain/XJ-13-strain-icon.jpg"""
Crescendo,233,,,"""../../../assets/img/strain-types/Indica_500.png"""
Nebula,234,,,"""https://assets.wikileaf.com/assets/strains/strain/Strain-Nebula.png"""
Venom OG,235,,,"""https://assets.wikileaf.com/assets/strains/strain/Venom_OG.jpg"""
Black Mamba,236,,,"""https://assets.wikileaf.com/assets/strains/strain/Black_Mamba.jpg"""
Citrus Sap,237,,,"""https://assets.wikileaf.com/assets/strains/strain/Citrus_Sap.jpg"""
Sunshine Daydream,238,,,"""https://assets.wikileaf.com/assets/strains/strain/Sunshine_Daydream.jpg"""
Pineapple Kush,239,,,"""https://assets.wikileaf.com/assets/strains/strain/Pineapple_Kush500x500.png"""
UBC Chemo,240,,,"""https://assets.wikileaf.com/assets/strains/strain/UBC_Chemo.jpg"""
Paris OG,241,,,"""https://assets.wikileaf.com/assets/strains/strain/Paris_OG.jpg"""
Sweet Tooth,242,,,"""https://assets.wikileaf.com/assets/strains/strain/Sweet_Tooth.png"""
707 Headband,243,,,"""https://assets.wikileaf.com/assets/strains/strain/707-Headband-icon.png"""
Duke Nukem,244,,,"""https://assets.wikileaf.com/assets/strains/strain/Duke-Nukem-icon.png"""
Cherry Kush,245,,,"""https://assets.wikileaf.com/assets/strains/strain/Cherry-Kush-icon.jpg"""
Blue Magic,246,,,"""https://assets.wikileaf.com/assets/strains/strain/Blue_Magic.jpg"""
Wonder Woman,247,,,"""https://assets.wikileaf.com/assets/strains/strain/Wonder_Woman_500x500.png"""
Dreamcatcher,248,,,"""https://assets.wikileaf.com/assets/strains/strain/dreamcatcher-Icon.png"""
Mako Haze,249,,,"""https://assets.wikileaf.com/assets/strains/strain/Mako-Haze-Icon.jpg"""
Deadhead OG,250,,,"""https://assets.wikileaf.com/assets/strains/strain/Deadhead_OG.png"""
Vortex,251,,,"""https://assets.wikileaf.com/assets/strains/strain/Vortex-icon.png"""
Pure OG,252,,,"""https://assets.wikileaf.com/assets/strains/strain/Pure_OG.png"""
Hellfire OG,253,,,"""../../../assets/img/strain-types/Hybrid_500.png"""
Lava Cake,254,,,"""../../../assets/img/strain-types/Indica_500.png"""
Tropicana,255,,,"""../../../assets/img/strain-types/Sativa_500.png"""
Strawberry Amnesia,256,,,"""../../../assets/img/strain-types/Sativa_500.png"""
Dutch Dragon,257,,,"""https://assets.wikileaf.com/assets/strains/strain/Dutch_Dragon.jpg"""
Loud,258,,,"""https://assets.wikileaf.com/assets/strains/strain/Loud.png"""
Cherry Wine,259,,,"""../../../assets/img/strain-types/Hybrid_500.png"""
Orange Creamsicle,260,,,"""https://assets.wikileaf.com/assets/strains/strain/Orange-Creamsicle-Icon.png"""
Tahoe Alien,261,,,"""https://assets.wikileaf.com/assets/strains/strain/Tahoe_Alien.png"""
LA Kush,262,,,"""https://assets.wikileaf.com/assets/strains/strain/LA_Kush.png"""
Gorilla Glue #5,263,,,"""https://assets.wikileaf.com/assets/strains/strain/Gorilla_Glue_5.jpg"""
True OG,264,,,"""https://assets.wikileaf.com/assets/strains/strain/True_OG.jpg"""
Enemy of the State,265,,,"""https://assets.wikileaf.com/assets/strains/strain/Enemy_of_the_State.jpg"""
Yoda OG,266,,,"""https://assets.wikileaf.com/assets/strains/strain/Yoda_OG.png"""
