,strain
628,Ghostbreath
629,Lavender Jones
630,Chemdawg 91
631,Sherblato
632,Mendo Queen
633,Hibiscus Sunrise
634,Scout's Honor
635,Trix
636,F.O.G.
637,Ultraviolet
638,Cherry Limeade
639,Silver Bubble
640,Armageddon
641,Purple Jolly Rancher
642,Key Lime Haze
643,Tangilope
644,Allen Wrench
645,Air Jordan OG
646,Supermax OG
647,Redd Cross
648,Rosaberry
649,Monster OG
650,Black Label
651,Legendary Lemon
652,Galactica OG
653,California Orange Cheese
654,Alpine Blue
655,98 White Widow
656,Chem Cookies
657,Chocolate Cheesecake
658,999
659,Sister Glue
660,Blue Ivy
661,Irene Kush
662,Fast Eddy
663,Fruit Crusher
664,Animal Gas
665,Plushberry
666,Mataro Blue
667,Memory Loss
668,Blue Lemon
669,Fire Alien Master
670,Wet Dream
671,Sugar Black Rose
672,Animal Face
673,Pineapple Jack
674,Thunderstruck
675,White Berry
676,Godberry
677,False Teeth
678,Polar Dog
679,Gelato Cake
680,Now N Later
681,Beyond the Brain
682,Purple Gorilla
683,Garanimals
684,Tillamook Strawberry
685,Ultra Sour
686,Tuna OG
687,Versace
688,Washing Machine
689,Wakanda OG
690,Ace of Spades
691,The Brotherhood
692,Dr. Grinspoon
693,Firewalker OG
694,Corleone Kush
695,Doc OG
696,Pine Tar Kush
697,Purple Jack
698,Purple Monkey Balls
699,Redwood Kush
700,Purple Cheddar
701,Purple Tangie
702,Red Congolese
703,Black Label Kush
704,Alien Hallucination
705,Primus
706,Buddha's Sister
707,Crimea Blue
708,Buddha's Hand
709,Godfather OG
710,Pop Rox
711,Colorado Bubba
712,Pineapple Thai
713,Bubba OG
714,Purple Tonic
715,Alien Bubba
716,Blueberry Jack
717,Purple Crack
718,Blackberry x Blueberry
719,Platinum Purple Kush
720,Hercules
721,Orange Juice
722,Hindu Skunk
723,Blue Steel
724,Citrus Punch
725,Jack 47
726,Quebec Gold
727,Optimus Prime
728,Johnny Blaze
729,Ethiopian
730,White Gorilla
731,G1000
732,Purple Alien OG
733,Black Afghan
734,Birds of Paradise
735,Valley Girl
736,Chiesel
737,Pineapple Haze
738,Loud Scout
739,Blue Heron
740,Ghetto Bird
741,Big Bull
742,White Kush
743,Strawberry Ice
744,Fortune Cookies
745,Bright Fire
746,Big Mac
747,Sugar Kush
748,White Dawg
749,Bell Ringer
750,Tropical Tang
751,King Kush
752,Raspberry Cough
753,Pink Bubba
754,OG Cheese
755,California Hash Plant
756,Bright Moments
757,Early Miss
758,Or
759,Atomic Bomb
760,Big Kush
761,Black Cherry OG
762,OG Chem
763,Gas Mask
764,Chocolate Diesel
765,Ghost Cookies
766,Sweet Black Angel
767,C3PO
768,Rocket Fuel
769,La Blanca
770,Dr. Bubbles
771,Red Haze
772,Dragon OG
773,Strawberry Lemonade
774,Aurora Indica
775,Royal Highness
776,El Jefe
777,Golden Nugget
778,Elmer's Glue
779,Mother's Helper
780,Northern Wreck
781,Chocolate Haze
782,American Pie
783,Purple Suicide
784,Foul Mouth
785,Jack Flash
786,Soul Shine
787,Purple Lightning
788,Punky Lion
789,Super Snow Dog
790,Madagascar
791,Pearl Scout Cookies
792,Cali Kush
793,Jelly Roll
794,Lemon Bubble
795,Lake of Fire
796,Green Avenger
797,Tweed CBD
798,God's Bubba
799,Django
800,Blue Nina
801,Critical 47
802,Devil Fruit
803,Megalodon
804,Electric Kool-Aid
805,Cactus Cooler
806,Endless Sky
807,Fire Haze
808,Edelweiss
809,Sweet Kush
810,Ayahuasca Purple
811,Rare Darkness
812,Anonymous OG
813,Koolato
814,Blue Nightmare
815,Spliffs Strawberry
816,Millennium
817,Outlaw
818,G13 Haze
819,Oracle
820,White Sangria
821,DarkStar
822,Boysenberry
823,Moonwalker Kush
824,Cali Gold
825,Blue Alien
826,Ghost Bubba
827,Zeus OG
828,Berry OG
829,Milky Way
830,Quasar
831,Irish Cream
832,Stephen Hawking Kush
833,Bubblicious
834,White Knight
835,Raindance
836,Alf
837,BB King
838,Tutti Frutti
839,Lucid Dream
840,Webster
841,Lucy
842,White OG
843,King Kong
844,B-52
845,Blue Goo
846,Gucci OG
847,P-91
848,Dizzy OG
849,Blueberry Cheesecake
850,Charlie Sheen
851,Pink Champagne
852,Blue Hawaiian
853,Huckleberry
854,Gobbstopper
855,Emerald OG
856,Grape God
857,Boy Scout Cookies
858,Presidential OG
859,Fruit Punch
860,Tesla Tower
861,Dog Shit
862,Blue Dot
863,Jedi Kush
864,Pure Kush
865,Abusive OG
866,Night Train
867,CBD Kush
868,Blue Venom
869,Chocolate Hashberry
870,Conspiracy Kush
871,Mango Haze
872,Deep Chunk
873,Kong
874,Pie Face
875,Blue Knight
876,Cheese Candy
877,Boss Hogg
878,Black Ice
879,Monkey Paw
880,Red Headed Stranger
881,UW
882,Ice Queen
883,California Orange
884,Las Vegas Purple Kush
885,Mega Wellness OG
886,Blueberry Blast
887,Purple Elephant
888,C4
889,Presidential Kush
890,Candy Jack
891,$100 OG Kush
892,Happy Kush
893,Purple Power
894,Herijuana
895,Gandalf OG
896,White Urkle
897,Alien Kush
898,Purple Trainwreck
899,Ginger Ale
900,Little Devil
901,Canna-Tsu
902,Ambrosia
903,Wedding Pie
904,Big Bang
905,Swazi Gold
906,Carnival
907,The Original Lemonnade
908,Kryptonite
909,Highlands
910,Kilimanjaro
911,Ninja Fruit
912,Laughing Gas
913,Custard Cream
914,Green Queen
915,Pure Power
916,Pot of Gold
917,Baklava
918,Cowboy Kush
919,Orange Blossom
920,Gorilla Snacks
921,Space Cream
922,Krishna Kush
923,Blue Rhino
924,DJ Andy Williams
925,Sherbacio
926,Hulkberry
927,Peppermint Cookies
928,Caramelo
929,Malawi
930,Middlefork
931,Jack's Dream
932,Tropicali
933,Frankenstein
934,Gummy Bears
935,French Cookies
936,Dream Lotus
937,Megatron
938,Hammerhead
939,Hawaiian
940,K1
941,Sour Chocolate
942,Ace Killer OG
943,Pipe Dream
944,Green Kush
945,Agent Tangie
946,Green Love Potion
947,Asian Fantasy
948,Obsession
949,Cannalope Kush
950,Jorge's Diamonds #1
951,Selene
952,Sirius Black
953,Sour Bubba
954,Full Moon
955,Area 51
956,In The Pines
957,Pineapple Diesel
958,Salmon River OG
959,Grape Crush
960,Suzy Q
961,Hemlock
962,Tora Bora
963,Moonshine Haze
964,Lee Roy
965,Orange Dream
966,White Queen
967,Pink Panties
