,strain,about
196,Ice Wreck,https://www.wikileaf.com/strain/ice-wreck/
197,Jean Guy,https://www.wikileaf.com/strain/jean-guy/
198,Alaskan Ice,https://www.wikileaf.com/strain/alaskan-ice/
199,Romulan,https://www.wikileaf.com/strain/romulan/
200,Crystal Coma,https://www.wikileaf.com/strain/crystal-coma/
201,RudeBoi OG,https://www.wikileaf.com/strain/rudeboi-og/
202,London Pound Cake,https://www.wikileaf.com/strain/london-pound-cake/
203,White Gold,https://www.wikileaf.com/strain/white-gold/
204,Afgooey,https://www.wikileaf.com/strain/afgooey/
205,Tangerine,https://www.wikileaf.com/strain/tangerine/
206,Herojuana,https://www.wikileaf.com/strain/herojuana/
207,Chronic,https://www.wikileaf.com/strain/chronic/
208,Lavender Haze,https://www.wikileaf.com/strain/lavender-haze/
209,Lemon OG,https://www.wikileaf.com/strain/lemon-og/
210,Hawaiian Snow,https://www.wikileaf.com/strain/hawaiian-snow/
211,Lemon Diesel,https://www.wikileaf.com/strain/lemon-diesel/
212,Lucid Blue,https://www.wikileaf.com/strain/lucid-blue/
213,Bakerstreet,https://www.wikileaf.com/strain/bakerstreet/
214,God's Green Crack,https://www.wikileaf.com/strain/gods-green-crack/
215,Cherry Bomb,https://www.wikileaf.com/strain/cherry-bomb/
216,Sour Jack,https://www.wikileaf.com/strain/sour-jack/
217,God Bud,https://www.wikileaf.com/strain/god-bud/
218,Lemon Cake,https://www.wikileaf.com/strain/lemon-cake/
219,THC Bomb,https://www.wikileaf.com/strain/thc-bomb/
220,Blueberry Headband,https://www.wikileaf.com/strain/blueberry-headband/
221,Zombie OG,https://www.wikileaf.com/strain/zombie-og/
222,Headbanger,https://www.wikileaf.com/strain/headbanger/
223,Blue Diesel,https://www.wikileaf.com/strain/blue-diesel/
224,Chocolate Thai,https://www.wikileaf.com/strain/chocolate-thai/
225,Ogre Kush,https://www.wikileaf.com/strain/ogre-kush/
226,Tangerine Dream,https://www.wikileaf.com/strain/tangerine-dream/
227,Triangle Kush,https://www.wikileaf.com/strain/triangle-kush/
228,Afghani,https://www.wikileaf.com/strain/afghani/
229,Cereal Milk,https://www.wikileaf.com/strain/cereal-milk/
230,Cold Creek Kush,https://www.wikileaf.com/strain/cold-creek-kush/
231,XJ-13,https://www.wikileaf.com/strain/xj-13/
232,Crescendo,https://www.wikileaf.com/strain/crescendo/
233,Nebula,https://www.wikileaf.com/strain/nebula/
234,Venom OG,https://www.wikileaf.com/strain/venom-og/
235,Black Mamba,https://www.wikileaf.com/strain/black-mamba/
236,Citrus Sap,https://www.wikileaf.com/strain/citrus-sap/
237,Sunshine Daydream,https://www.wikileaf.com/strain/sunshine-daydream/
238,Pineapple Kush,https://www.wikileaf.com/strain/pineapple-kush/
239,UBC Chemo,https://www.wikileaf.com/strain/ubc-chemo/
240,Paris OG,https://www.wikileaf.com/strain/paris-og/
241,Sweet Tooth,https://www.wikileaf.com/strain/sweet-tooth/
242,707 Headband,https://www.wikileaf.com/strain/707-headband/
243,Duke Nukem,https://www.wikileaf.com/strain/duke-nukem/
244,Cherry Kush,https://www.wikileaf.com/strain/cherry-kush/
245,Blue Magic,https://www.wikileaf.com/strain/blue-magic/
246,Wonder Woman,https://www.wikileaf.com/strain/wonder-woman/
247,Dreamcatcher,https://www.wikileaf.com/strain/dreamcatcher/
248,Mako Haze,https://www.wikileaf.com/strain/mako-haze/
249,Deadhead OG,https://www.wikileaf.com/strain/deadhead-og/
250,Vortex,https://www.wikileaf.com/strain/vortex/
251,Pure OG,https://www.wikileaf.com/strain/pure-og/
252,Hellfire OG,https://www.wikileaf.com/strain/hellfire-og/
253,Lava Cake,https://www.wikileaf.com/strain/lava-cake/
254,Tropicana,https://www.wikileaf.com/strain/tropicana/
255,Strawberry Amnesia,https://www.wikileaf.com/strain/strawberry-amnesia/
256,Dutch Dragon,https://www.wikileaf.com/strain/dutch-dragon/
257,Loud,https://www.wikileaf.com/strain/loud/
258,Cherry Wine,https://www.wikileaf.com/strain/cherry-wine/
259,Orange Creamsicle,https://www.wikileaf.com/strain/orange-creamsicle/
260,Tahoe Alien,https://www.wikileaf.com/strain/tahoe-alien/
261,LA Kush,https://www.wikileaf.com/strain/la-kush/
262,Gorilla Glue #5,https://www.wikileaf.com/strain/gorilla-glue-5/
263,True OG,https://www.wikileaf.com/strain/true-og/
264,Enemy of the State,https://www.wikileaf.com/strain/enemy-of-the-state/
265,Yoda OG,https://www.wikileaf.com/strain/yoda-og/
266,Shark Shock,https://www.wikileaf.com/strain/shark-shock/
267,Where's My Bike,https://www.wikileaf.com/strain/where's-my-bike/
268,Wild Thailand,https://www.wikileaf.com/strain/wild-thailand/
269,Grapefruit Kush,https://www.wikileaf.com/strain/grapefruit-kush/
270,Hardcore OG,https://www.wikileaf.com/strain/hardcore-og/
271,Blueberry Space Cake,https://www.wikileaf.com/strain/blueberry-space-cake/
272,Sour Sunset,https://www.wikileaf.com/strain/sour-sunset/
273,Money Maker,https://www.wikileaf.com/strain/money-maker/
274,Strawberry Diesel,https://www.wikileaf.com/strain/strawberry-diesel/
275,Jamaican Dream,https://www.wikileaf.com/strain/jamaican-dream/
276,White Nightmare,https://www.wikileaf.com/strain/white-nightmare/
277,Big Smooth,https://www.wikileaf.com/strain/big-smooth/
278,Black Cherry Soda,https://www.wikileaf.com/strain/black-cherry-soda/
